name,type,role,title,year
Laurence Fishburne,ACTS_IN,Morpheus,The Matrix,1999-03-31
Keanu Reeves,ACTS_IN,Neo,The Matrix,1999-03-31
Carrie-Anne Moss,ACTS_IN,Trinity,The Matrix,1999-03-31
Laurence Fishburne,ACTS_IN,Morpheus,The Matrix Reloaded,2003-05-07
Keanu Reeves,ACTS_IN,Neo,The Matrix Reloaded,2003-05-07
Carrie-Anne Moss,ACTS_IN,Trinity,The Matrix Reloaded,2003-05-07
Keanu Reeves,ACTS_IN,Neo,The Matrix Revolutions,2003-10-27
Carrie-Anne Moss,ACTS_IN,Trinity,The Matrix Revolutions,2003-10-27
Laurence Fishburne,ACTS_IN,Morpheus,The Matrix Revolutions,2003-10-27
Michael Nyquist,ACTS_IN,Viggo Tarasov,John wick,
William Dafoe,ACTS_IN,Marcus,John wick,
Keanu Reeves,ACTS_IN,John Wick,John wick,
